时间,粗钢产量_当期值,粗钢产量_累计值,粗钢产量_同比增长,粗钢产量_累计增长
2025年6月,8318.40173,51482.59801,-9.2,-3.0
2025年5月,8654.5,43163.1,-6.9,-1.7
2025年4月,8601.9,34535.1,0.0,0.4
2025年3月,9284.13978,25933.21697,4.6,0.6
2025年2月,,16629.5,,-1.5
2024年9月,7706.86566,76847.74091,-6.1,-3.6
2024年8月,7792.11683,69140.86639,-10.4,-3.3
2024年7月,8293.85423,61372.37806,-9.0,-2.2
2024年6月,9160.70009,53057.22164,0.2,-1.1
2024年12月,7596.91543,100509.12571,11.8,-1.7
2024年11月,7840.00477,92918.98105,2.5,-2.7
2024年10月,8188.07132,85073.06759,2.9,-3.0
