时间,废弃资源综合利用业出口交货值_当期值,废弃资源综合利用业出口交货值_累计值,废弃资源综合利用业出口交货值_同比增长,废弃资源综合利用业出口交货值_累计增长
2025年6月,8.4,37.4,62.1,25.3
2025年5月,9.2,28.9,115.7,17.9
2025年4月,3.3,19.7,-30.2,-1.4
2025年3月,7.4,16.5,27.0,7.9
2025年2月,,9.3,,26.9
2024年9月,5.3,43.4,19.0,-2.5
2024年8月,4.3,37.9,10.0,-6.6
2024年7月,3.2,28.3,42.3,-9.9
2024年6月,4.2,26.6,-20.2,-8.7
2024年12月,4.7,50.9,53.8,0.9
2024年11月,5.1,46.3,57.7,-7.0
2024年10月,4.7,48.1,78.5,1.7
