时间,纯碱（碳酸钠）产量_当期值,纯碱（碳酸钠）产量_累计值,纯碱（碳酸钠）产量_同比增长,纯碱（碳酸钠）产量_累计增长
2025年6月,347.96903,2006.44812,4.7,5.7
2025年5月,316.6,1660.2,-1.2,6.0
2025年4月,364.2,1343.7,14.7,6.9
2025年3月,348.04896,979.46725,7.8,4.2
2025年2月,,631.4,,2.3
2024年9月,307.04243,2863.88258,11.9,20.8
2024年8月,318.75229,2560.04402,27.4,22.1
2024年7月,326.32919,2241.27185,27.5,21.4
2024年6月,334.56701,1914.94256,24.6,20.3
2024年12月,335.03436,3818.60855,10.9,16.3
2024年11月,325.49276,3485.89047,10.8,17.1
2024年10月,333.72949,3164.14508,7.2,17.9
