时间,酒的制造工业生产者出厂价格指数(上年同月=100),饮料制造工业生产者出厂价格指数(上年同月=100),精制茶加工工业生产者出厂价格指数(上年同月=100)
2025年6月,99.3,99.4,99.8
2025年5月,99.4,99.2,99.7
2025年4月,99.0,99.1,100.2
2025年3月,99.1,98.7,99.7
2025年2月,99.2,98.4,99.6
2025年1月,98.9,98.3,100.1
2024年12月,98.9,98.4,99.5
2024年11月,98.9,98.6,99.7
2024年10月,99.3,98.6,99.7
2024年9月,98.6,98.9,99.6
2024年8月,99.4,99.0,99.1
2024年7月,99.4,99.5,99.4
2024年6月,99.9,99.8,99.2
