时间,教育服务居民消费价格指数(上月=100),旅游居民消费价格指数(上月=100)
2025年6月,100.0,99.2
2025年5月,100.0,100.8
2025年4月,100.0,103.1
2025年3月,100.1,94.1
2025年2月,100.0,95.6
2025年1月,100.0,111.6
2024年12月,100.0,100.1
2024年11月,100.0,94.4
2024年10月,100.0,101.3
2024年9月,100.9,93.7
2024年8月,100.0,99.3
2024年7月,100.0,109.4
2024年6月,100.0,99.2
