时间,铁矿采选工业生产者出厂价格指数(上年同月=100),锰矿、铬矿采选工业生产者出厂价格指数(上年同月=100),其他黑色金属矿采选工业生产者出厂价格指数(上年同月=100)
2025年6月,91.1,94.1,58.7
2025年5月,92.9,95.0,62.5
2025年4月,93.6,98.1,62.8
2025年3月,88.8,98.5,62.9
2025年2月,86.3,101.1,61.7
2025年1月,85.7,102.6,98.6
2024年9月,93.1,102.6,103.8
2024年8月,100.6,103.3,102.1
2024年7月,103.8,102.8,97.0
2024年6月,106.1,101.3,100.2
2024年12月,88.0,106.8,101.2
2024年11月,90.3,105.9,118.2
2024年10月,91.7,105.1,118.5
