时间,中厚宽钢带产量_当期值,中厚宽钢带产量_累计值,中厚宽钢带产量_同比增长,中厚宽钢带产量_累计增长
2025年5月,1886.6,9469.4,-1.3,4.8
2025年4月,1847.0,7583.2,1.0,7.0
2025年3月,2019.7,5736.3,8.5,8.8
2024年12月,1790.2,21354.2,14.2,3.8
2024年11月,1751.0,19508.6,9.5,2.7
2024年10月,1702.5,17770.0,-1.2,2.2
2024年9月,1710.7,16185.6,-6.4,2.1
2024年8月,1808.7,14475.3,-3.7,3.2
2024年7月,1780.2,12661.5,-2.8,3.6
2024年6月,1901.9,10913.4,3.4,5.5
2025年2月,,3712.0,,9.3
