时间,纸浆制造工业生产者出厂价格指数(上年同月=100),造纸工业生产者出厂价格指数(上年同月=100),纸制品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,90.1,95.5,98.1
2025年5月,92.8,95.5,97.8
2025年4月,95.3,95.5,97.5
2025年3月,93.7,96.1,97.4
2025年2月,94.9,97.4,97.6
2025年1月,93.9,97.5,97.5
2024年9月,105.7,97.6,97.0
2024年8月,111.4,98.3,96.8
2024年7月,111.7,97.9,96.5
2024年6月,107.9,96.8,96.5
2024年12月,91.2,96.5,97.7
2024年11月,92.2,95.1,97.1
2024年10月,99.5,95.5,97.0
