时间,石油及制品类商品零售类值_当期值,石油及制品类商品零售类值_累计值,石油及制品类商品零售类值_同比增长,石油及制品类商品零售类值_累计增长
2025年5月,1894.8,9787.1,-7.0,-2.6
2025年4月,1863.8,7917.5,-5.7,-1.4
2025年3月,2073.4,6081.7,-1.9,-0.1
2024年12月,2023.9,24001.7,-2.8,0.3
2024年11月,1852.5,22021.1,-7.1,0.6
2024年10月,1967.7,20178.7,-6.6,1.3
2024年9月,2073.8,18201.0,-4.4,2.3
2024年8月,2093.5,16104.9,-0.4,3.2
2024年7月,2034.8,14041.4,1.6,3.8
2024年6月,2074.1,12026.2,4.6,4.1
2025年2月,,4018.6,,0.9
