时间,有色金属矿采选业出口交货值_当期值,有色金属矿采选业出口交货值_累计值,有色金属矿采选业出口交货值_同比增长,有色金属矿采选业出口交货值_累计增长
2025年5月,0.7,2.6,-0.3,-15.3
2025年4月,0.4,1.9,-21.8,-15.0
2025年3月,0.7,1.5,-2.1,-12.9
2024年12月,1.0,6.4,37.2,10.9
2024年11月,0.4,5.4,-15.0,2.1
2024年10月,0.5,5.0,8.4,5.8
2024年9月,0.3,4.5,20.7,10.2
2024年8月,0.4,4.2,29.9,9.1
2024年7月,0.5,3.7,69.3,28.6
2024年6月,0.7,3.3,53.7,24.4
2025年2月,,0.8,,-8.0
