时间,布产量_当期值,布产量_累计值,布产量_同比增长,布产量_累计增长
2025年6月,27.7937,153.68333,0.4,0.0
2025年5月,26.7,126.3,-3.3,0.2
2025年4月,27.2,101.2,-1.1,2.3
2025年3月,28.79055,74.49106,4.3,3.5
2025年2月,,44.7,,0.7
2024年9月,27.27911,234.35684,-1.4,1.4
2024年8月,26.53449,213.08333,-1.9,3.0
2024年7月,25.26142,178.70172,-0.4,2.3
2024年6月,28.66605,158.73541,-2.7,2.1
2024年12月,29.19323,306.33254,2.8,2.2
2024年11月,28.26623,282.10396,1.8,1.0
2024年10月,27.19763,260.26341,1.1,2.0
