时间,成品糖产量_当期值,成品糖产量_累计值,成品糖产量_同比增长,成品糖产量_累计增长
2025年5月,37.7,906.6,59.1,4.9
2025年4月,60.3,866.6,-2.1,3.1
2025年3月,186.21205,807.4877,-20.7,3.1
2024年12月,324.15684,1498.6365,17.8,17.0
2024年11月,133.57823,1174.70213,33.6,16.7
2024年10月,61.65052,1042.73293,-5.5,14.1
2024年9月,39.31417,979.03135,45.0,15.6
2024年8月,29.88086,945.59495,39.1,14.3
2024年7月,24.74837,910.71127,16.5,13.9
2024年6月,26.17979,882.89589,-21.1,13.9
2025年2月,,613.6,,13.1
