时间,书报杂志类商品零售类值_当期值,书报杂志类商品零售类值_累计值,书报杂志类商品零售类值_同比增长,书报杂志类商品零售类值_累计增长
2025年6月,160.0,814.4,-10.7,-4.1
2025年5月,126.1,655.9,-8.4,-2.3
2025年4月,125.2,530.1,-8.5,-0.7
2025年3月,212.8,404.6,2.8,2.0
2025年2月,,190.8,,1.2
2024年9月,225.3,1252.9,5.1,1.9
2024年8月,84.2,1024.8,-3.9,1.3
2024年7月,89.5,939.5,-2.7,1.7
2024年6月,177.8,848.8,0.8,2.2
2024年12月,184.3,1767.7,-12.2,-1.6
2024年11月,173.6,1582.4,-10.1,-0.2
2024年10月,147.0,1401.3,-4.8,1.2
