时间,木材加工和木、竹、藤、棕、草制品业出口交货值_当期值,木材加工和木、竹、藤、棕、草制品业出口交货值_累计值,木材加工和木、竹、藤、棕、草制品业出口交货值_同比增长,木材加工和木、竹、藤、棕、草制品业出口交货值_累计增长
2025年5月,29.9,142.6,-3.5,-3.2
2025年4月,29.6,113.3,-2.8,-2.4
2025年3月,31.1,83.7,3.7,-1.9
2024年12月,37.9,375.5,0.0,-2.2
2024年11月,33.9,337.1,-3.6,-2.2
2024年10月,31.9,305.9,-2.2,-1.7
2024年9月,32.6,271.8,-0.4,-2.1
2024年8月,31.0,241.9,-4.1,-3.4
2024年7月,31.4,210.6,-0.4,-2.6
2024年6月,32.5,179.4,-3.7,-3.6
2025年2月,,51.1,,-4.3
