时间,化妆品类商品零售类值_当期值,化妆品类商品零售类值_累计值,化妆品类商品零售类值_同比增长,化妆品类商品零售类值_累计增长
2025年6月,407.2,2290.8,-2.3,2.9
2025年5月,434.6,1888.8,4.4,4.1
2025年4月,308.7,1454.2,7.2,4.0
2025年3月,428.2,1148.6,1.1,3.2
2025年2月,,720.3,,4.4
2024年9月,329.3,3068.5,-4.5,-1.0
2024年8月,319.0,2729.7,-6.1,-0.5
2024年7月,245.4,2410.2,-6.1,0.3
2024年6月,404.6,2168.1,-14.6,1.0
2024年12月,344.7,4356.5,0.8,-1.1
2024年11月,433.7,4014.6,-26.4,-1.3
2024年10月,468.4,3562.6,40.1,3.0
