时间,橡胶和塑料制品业出口交货值_当期值,橡胶和塑料制品业出口交货值_累计值,橡胶和塑料制品业出口交货值_同比增长,橡胶和塑料制品业出口交货值_累计增长
2025年5月,376.5,1835.8,-1.5,1.2
2025年4月,375.7,1458.9,-2.6,1.9
2025年3月,391.5,1081.2,5.2,3.9
2024年12月,430.5,4618.2,12.4,7.3
2024年11月,386.5,4188.1,4.7,6.8
2024年10月,373.4,3809.8,6.8,7.1
2024年9月,394.9,3432.5,4.1,7.2
2024年8月,406.7,3038.0,6.8,7.5
2024年7月,411.2,2631.8,9.3,7.7
2024年6月,406.7,2222.0,6.4,7.2
2025年2月,,686.8,,3.4
