时间,锂离子电池产量_当期值,锂离子电池产量_累计值,锂离子电池产量_同比增长,锂离子电池产量_累计增长
2024年9月,244776.4,2036051.0,6.7,12.3
2024年8月,228912.1,1770044.0,6.4,12.7
2024年7月,229172.6,1553806.7,8.6,14.3
2024年6月,243897.4,1331496.7,12.1,16.0
2024年12月,284440.5,2945706.5,8.4,13.7
2024年11月,261443.7,2647682.2,8.9,13.7
2024年10月,237420.0,2282527.7,7.5,12.0
