时间,新能源汽车产量_当期值,新能源汽车产量_累计值,新能源汽车产量_同比增长,新能源汽车产量_累计增长
2025年5月,124.5,564.0,31.7,40.8
2025年4月,122.8,439.5,38.9,43.7
2025年3月,129.8324,315.8811,40.6,45.4
2024年12月,164.7032,1316.8187,43.2,38.7
2024年11月,157.409,1148.9247,51.1,37.5
2024年10月,142.7899,989.9866,48.6,36.3
2024年9月,130.7785,843.9265,48.5,33.8
2024年8月,110.5355,713.3621,30.5,31.3
2024年7月,98.8086,589.1446,27.8,32.9
2024年6月,102.467,490.3177,37.0,34.3
2025年2月,,181.7,,47.7
