时间,服装居民消费价格指数(上年同月=100),鞋类居民消费价格指数(上年同月=100)
2025年6月,101.7,101.1
2025年5月,101.7,100.8
2025年4月,101.5,100.6
2025年3月,101.5,100.5
2025年2月,101.4,100.3
2025年1月,101.3,100.2
2024年9月,101.6,100.3
2024年8月,101.7,100.1
2024年7月,101.7,100.3
2024年6月,101.8,100.5
2024年12月,101.4,100.2
2024年11月,101.3,100.2
2024年10月,101.4,100.0
