时间,合成纤维产量_当期值,合成纤维产量_累计值,合成纤维产量_同比增长,合成纤维产量_累计增长
2025年5月,678.2,3219.0,5.5,5.5
2025年4月,671.7,2553.2,5.0,5.8
2025年3月,710.0,1892.8,6.2,6.6
2024年12月,638.5,7240.0,4.8,9.5
2024年11月,621.7,6606.0,1.8,8.4
2024年10月,632.2,6026.2,4.0,9.2
2024年9月,612.5,5381.0,2.0,9.5
2024年8月,603.4,4776.8,0.3,10.7
2024年7月,610.1,4169.1,2.1,12.0
2024年6月,621.2,3572.4,3.4,13.7
2025年2月,,1182.6,,6.2
