时间,有色金属冶炼和压延加工业出口交货值_当期值,有色金属冶炼和压延加工业出口交货值_累计值,有色金属冶炼和压延加工业出口交货值_同比增长,有色金属冶炼和压延加工业出口交货值_累计增长
2025年6月,210.5,1244.1,-11.2,11.1
2025年5月,193.9,1029.8,-12.9,17.5
2025年4月,222.5,834.2,15.5,27.4
2025年3月,251.2,611.0,32.7,34.8
2025年2月,,362.1,,40.0
2024年9月,159.7,1635.7,13.1,23.9
2024年8月,168.8,1473.7,12.7,25.1
2024年7月,188.7,1306.6,26.5,27.1
2024年6月,235.0,1117.3,66.6,26.8
2024年12月,166.1,2193.6,20.3,25.5
2024年11月,208.0,2028.0,48.9,26.8
2024年10月,170.5,1805.7,24.4,23.8
