时间,家用电器和音像器材类商品零售类值_当期值,家用电器和音像器材类商品零售类值_累计值,家用电器和音像器材类商品零售类值_同比增长,家用电器和音像器材类商品零售类值_累计增长
2025年5月,1166.2,4640.5,53.0,30.2
2025年4月,913.8,3468.8,38.8,23.9
2025年3月,1000.7,2542.5,35.1,19.3
2024年12月,1132.5,10307.5,39.3,12.3
2024年11月,1200.0,9188.9,22.2,9.6
2024年10月,992.9,7907.7,39.2,7.8
2024年9月,841.3,6839.4,20.5,4.4
2024年8月,718.1,5940.1,3.4,2.5
2024年7月,730.2,5220.9,-2.4,2.3
2024年6月,1063.7,4487.4,-7.6,3.1
2025年2月,,1536.6,,10.9
