时间,文化办公用品类商品零售类值_当期值,文化办公用品类商品零售类值_累计值,文化办公用品类商品零售类值_同比增长,文化办公用品类商品零售类值_累计增长
2025年5月,398.8,1864.7,30.5,25.7
2025年4月,358.6,1458.3,33.5,24.4
2025年3月,421.2,1101.4,21.5,21.7
2024年12月,450.4,4327.4,9.1,-0.3
2024年11月,452.8,3880.5,-5.9,-1.3
2024年10月,437.7,3419.8,18.0,-0.6
2024年9月,441.0,2967.5,10.0,-2.9
2024年8月,361.6,2514.8,-1.9,-4.9
2024年7月,311.8,2154.0,-2.4,-5.3
2024年6月,413.6,1838.5,-8.5,-5.8
2025年2月,,676.3,,21.8
