时间,汽车产量_当期值,汽车产量_累计值,汽车产量_同比增长,汽车产量_累计增长
2025年6月,280.8622,1556.516,8.8,10.8
2025年5月,264.2,1275.7,11.3,11.1
2025年4月,260.4,1011.6,8.5,11.1
2025年3月,304.4591,751.3314,8.4,12.0
2025年2月,,445.4,,13.9
2024年9月,283.9002,2168.2969,-1.0,2.7
2024年8月,251.1332,1889.8741,-2.3,3.4
2024年7月,229.724,1624.77,-2.4,4.5
2024年6月,261.3,1396.0362,1.8,5.7
2024年12月,349.8616,3155.933,15.2,4.8
2024年11月,344.7598,2810.6446,15.2,4.2
2024年10月,295.4224,2466.0686,4.8,3.0
