时间,智能手表产量_当期值,智能手表产量_累计值,智能手表产量_同比增长,智能手表产量_累计增长
2025年5月,625.1,2365.9,-2.3,-17.6
2025年4月,539.0,1743.0,4.9,-21.8
2025年3月,444.4,1205.0,-32.8,-30.1
2024年12月,573.6,8095.4,-14.4,5.4
2024年11月,659.0,7492.1,0.4,8.0
2024年10月,662.5,6889.0,1.0,8.7
2024年9月,912.4,6207.1,8.2,9.8
2024年8月,823.4,5268.3,28.8,10.4
2024年7月,706.7,4460.2,-11.6,8.5
2024年6月,758.9,3672.2,-9.3,10.9
2025年2月,,760.1,,-28.2
