时间,汽车类商品零售类值_当期值,汽车类商品零售类值_累计值,汽车类商品零售类值_同比增长,汽车类商品零售类值_累计增长
2025年6月,4638.0,23468.3,4.6,0.8
2025年5月,4009.7,18847.1,1.1,-0.1
2025年4月,3626.2,14839.9,0.7,-0.5
2025年3月,4330.1,11236.8,5.5,-0.8
2025年2月,,6892.7,,-4.4
2024年9月,4538.9,35361.1,0.4,-2.1
2024年8月,3943.0,30679.9,-7.3,-2.4
2024年7月,3798.5,26735.8,-4.9,-1.7
2024年6月,4367.4,22961.8,-6.2,-1.1
2024年12月,5662.5,50313.5,0.5,-0.5
2024年11月,4764.8,44763.2,6.6,-0.7
2024年10月,4452.4,39921.1,3.7,-1.5
