时间,煤层气产量_当期值,煤层气产量_累计值,煤层气产量_同比增长,煤层气产量_累计增长
2025年6月,15.8,89.4,-3.7,7.7
2025年5月,15.3,73.3,4.6,10.0
2025年4月,14.6,57.9,9.0,11.7
2025年3月,15.9,43.4,23.1,12.8
2025年2月,,27.4,,6.3
2024年9月,14.3,126.1,19.6,23.0
2024年8月,14.4,111.7,26.3,23.4
2024年7月,14.6,97.3,30.6,23.0
2024年6月,16.3,82.6,44.5,23.4
2024年12月,13.1,166.6,-6.6,16.9
2024年11月,13.0,153.5,-0.1,19.5
2024年10月,14.5,140.6,15.0,20.9
