时间,饮料产量_当期值,饮料产量_累计值,饮料产量_同比增长,饮料产量_累计增长
2025年6月,1842.84953,9308.94738,3.2,2.9
2025年5月,1613.1,7460.0,2.4,3.0
2025年4月,1548.9,5959.0,6.0,3.9
2025年3月,1674.87576,4396.31753,1.7,3.0
2025年2月,,2684.7,,3.8
2024年9月,1771.01936,15026.48676,10.4,6.0
2024年8月,1905.09291,13516.22284,3.1,5.7
2024年7月,1799.73214,11645.95938,-7.1,3.4
2024年6月,1953.50054,9810.0219,6.5,7.9
2024年12月,1433.68153,18816.87666,7.5,6.3
2024年11月,1103.726,17357.84576,5.0,6.1
2024年10月,1190.6585,16265.90231,14.0,6.5
