时间,施工项目计划总投资_累计增长,新开工项目计划总投资_累计增长
2025年6月,2.9,0.6
2025年5月,1.9,-10.1
2025年4月,2.0,-6.7
2025年3月,2.2,-11.3
2025年2月,3.5,-25.2
2024年9月,3.9,-5.1
2024年8月,3.7,-6.1
2024年7月,3.7,-6.8
2024年6月,4.0,-5.8
2024年12月,4.0,-2.9
2024年11月,3.1,-7.7
2024年10月,3.5,-6.1
