时间,原油产量_当期值,原油产量_累计值,原油产量_同比增长,原油产量_累计增长
2025年5月,1846.9,9028.0,1.8,1.3
2025年4月,1772.4,7181.1,1.5,1.2
2025年3月,1902.5,5408.8,3.5,1.1
2024年12月,1790.2,21282.3,1.4,1.8
2024年11月,1724.8,19491.7,0.2,1.9
2024年10月,1776.8,17763.5,2.5,2.0
2024年9月,1707.1,15986.9,1.1,2.0
2024年8月,1783.5,14279.5,2.1,2.1
2024年7月,1790.1,12496.0,3.4,2.1
2024年6月,1794.6,10704.7,2.4,1.9
2025年2月,,3503.8,,-0.2
