时间,其他制造业出口交货值_当期值,其他制造业出口交货值_累计值,其他制造业出口交货值_同比增长,其他制造业出口交货值_累计增长
2025年5月,57.1,269.7,0.3,6.8
2025年4月,56.3,212.5,6.3,8.8
2025年3月,58.9,155.8,12.9,12.8
2024年12月,65.5,661.2,11.8,7.2
2024年11月,58.6,595.7,7.6,6.6
2024年10月,55.7,537.0,12.6,6.4
2024年9月,58.6,480.1,11.2,4.3
2024年8月,56.5,420.3,6.0,3.2
2024年7月,57.7,363.5,8.3,2.8
2024年6月,57.5,306.6,7.0,2.2
2025年2月,,96.1,,11.2
