时间,交流电动机产量_当期值,交流电动机产量_累计值,交流电动机产量_同比增长,交流电动机产量_累计增长
2025年6月,3262.8228,17030.00826,3.8,2.6
2025年5月,2887.8,13799.1,-4.5,2.8
2025年4月,2938.0,10932.9,2.3,5.6
2025年3月,3277.52742,7924.80049,9.8,6.6
2025年2月,,4665.9,,3.7
2024年9月,3143.91727,25899.73232,-2.1,-6.8
2024年8月,3015.86714,22666.66775,-3.5,-6.9
2024年7月,2962.74534,19606.93054,1.8,-8.0
2024年6月,3108.3312,16515.80581,-3.5,-9.7
2024年12月,3385.13093,35321.6986,3.4,-4.7
2024年11月,3084.76778,31745.1023,1.5,-5.2
2024年10月,2828.11966,28674.94908,0.3,-6.1
