时间,家用电冰箱（家用冷冻冷藏箱）产量_当期值,家用电冰箱（家用冷冻冷藏箱）产量_累计值,家用电冰箱（家用冷冻冷藏箱）产量_同比增长,家用电冰箱（家用冷冻冷藏箱）产量_累计增长
2025年5月,851.0,4071.3,-3.3,-1.5
2025年4月,817.9,3220.4,-10.7,-0.7
2025年3月,938.3526,2414.5494,-4.3,3.7
2024年12月,899.0931,10395.738,10.3,8.3
2024年11月,860.9196,9588.5133,2.6,8.1
2024年10月,897.0621,8727.645,6.8,8.5
2024年9月,962.92,7742.1222,9.0,7.5
2024年8月,897.6742,6781.6175,4.7,7.3
2024年7月,830.4264,5860.9747,-3.0,7.3
2024年6月,871.774,5051.0058,0.1,9.7
2025年2月,,1511.8,,11.7
