时间,工业生产者出厂价格指数(上月=100),生产资料工业生产者出厂价格指数(上月=100),生活资料工业生产者出厂价格指数(上月=100)
2025年6月,99.6,99.4,99.9
2025年5月,99.6,99.4,100.0
2025年4月,99.6,99.5,99.8
2025年3月,99.6,99.6,99.6
2025年2月,99.9,99.8,100.0
2025年1月,99.8,99.8,100.0
2024年12月,99.9,100.0,99.9
2024年11月,100.1,100.1,100.0
2024年10月,99.945,100.1,99.6
2024年9月,99.4,99.2,99.9
2024年8月,99.3,99.0,100.0
2024年7月,99.8,99.7,100.0
2024年6月,99.8,99.8,99.9
