时间,石油焦产量_当期值,石油焦产量_累计值,石油焦产量_同比增长,石油焦产量_累计增长
2025年6月,254.9,1567.4,-2.4,-4.5
2025年5月,246.9,1312.4,-8.0,-5.0
2025年4月,243.5,1049.9,-8.9,-5.6
2025年3月,274.1,806.3,-2.9,-4.6
2025年2月,,532.2,,-5.4
2024年9月,270.3,2473.9,-2.3,1.0
2024年8月,272.3,2196.7,-0.9,1.1
2024年7月,271.5,1924.4,-2.0,1.4
2024年6月,261.9,1652.9,-3.0,2.0
2024年12月,272.9,3286.3,-13.1,-1.7
2024年11月,267.8,3013.3,-7.2,-0.6
2024年10月,271.7,2745.6,-7.0,0.2
