时间,铁路机车产量_当期值,铁路机车产量_累计值,铁路机车产量_同比增长,铁路机车产量_累计增长
2025年5月,61.0,204.0,84.8,9.7
2025年4月,49.0,143.0,172.2,-6.5
2025年3月,61.0,94.0,-37.1,-30.4
2024年12月,190.0,947.0,-20.8,-17.7
2024年11月,143.0,757.0,4.4,-16.9
2024年10月,80.0,615.0,-42.9,-20.5
2024年9月,131.0,536.0,-25.6,-19.3
2024年8月,62.0,405.0,1.6,-12.3
2024年7月,24.0,343.0,-4.0,-15.7
2024年6月,133.0,319.0,-35.1,-16.5
2025年2月,,33.0,,-13.2
