时间,铝合金产量_当期值,铝合金产量_累计值,铝合金产量_同比增长,铝合金产量_累计增长
2025年5月,164.5,740.5,16.7,15.2
2025年4月,152.8,576.0,10.3,13.7
2025年3月,165.5,414.4,16.2,13.6
2024年12月,155.2,1614.1,12.7,9.6
2024年11月,145.0,1456.1,9.6,8.7
2024年10月,140.8,1321.8,9.1,8.7
2024年9月,144.0,1157.2,10.9,8.4
2024年8月,134.6,1016.1,5.5,8.7
2024年7月,138.2,921.9,6.6,8.7
2024年6月,142.0,800.8,8.1,11.4
2025年2月,,249.1,,12.7
