时间,铝材产量_当期值,铝材产量_累计值,铝材产量_同比增长,铝材产量_累计增长
2025年5月,576.2,2683.1,0.4,0.6
2025年4月,576.4,2111.7,0.3,0.9
2025年3月,598.16502,1540.4991,1.3,1.3
2025年2月,,967.4,,3.6
2024年9月,602.14977,5035.49168,7.3,8.0
2024年8月,581.98886,4445.59752,4.9,8.5
2024年7月,557.14364,3865.3003,4.8,9.6
2024年6月,592.76541,3325.53006,6.4,9.5
2024年12月,610.65561,6783.1079,2.6,7.7
2024年11月,592.74709,6190.29333,2.2,7.8
2024年10月,591.64274,5611.48037,7.4,8.1
