时间,葡萄酒产量_当期值,葡萄酒产量_累计值,葡萄酒产量_同比增长,葡萄酒产量_累计增长
2025年5月,0.6,3.6,-25.0,-26.5
2025年4月,0.5,2.9,-37.5,-27.5
2025年3月,0.9,2.4,-25.0,-25.0
2024年12月,1.5,11.8,-28.6,-14.5
2024年11月,1.0,10.3,-33.3,-14.2
2024年10月,0.8,9.2,-11.1,-9.8
2024年9月,1.1,8.5,-21.4,-8.6
2024年8月,0.8,7.4,-11.1,-6.3
2024年7月,0.8,6.8,0.0,-4.2
2024年6月,1.1,6.0,-26.7,-6.3
2025年2月,,1.5,,-25.0
