时间,家具制造业出口交货值_当期值,家具制造业出口交货值_累计值,家具制造业出口交货值_同比增长,家具制造业出口交货值_累计增长
2025年5月,105.1,569.5,-16.4,-6.6
2025年4月,113.5,464.3,-12.1,-4.7
2025年3月,127.5,349.9,-1.4,-1.8
2024年12月,148.8,1474.5,6.6,5.8
2024年11月,126.9,1326.7,-0.8,5.4
2024年10月,119.6,1197.1,3.7,6.1
2024年9月,119.0,1079.5,0.1,6.4
2024年8月,118.1,964.0,5.2,7.1
2024年7月,118.7,845.5,7.5,7.4
2024年6月,122.0,725.7,5.2,6.3
2025年2月,,220.3,,-1.8
