时间,电信业务总量_当期值,电信业务总量_累计值,电信业务总量_同比增长,电信业务总量_累计增长
2025年5月,1545.05,7551.36,10.09,8.57
2025年4月,1489.29,6006.32,9.66,8.19
2025年3月,1587.96,4517.02,7.86,7.71
2025年2月,1403.73,2929.06,7.89,7.63
2024年12月,1644.3,18307.46,10.77,10.04
2024年11月,1570.62,16663.15,5.69,9.97
2024年10月,1544.88,15092.53,8.33,10.43
2024年9月,1542.73,13547.66,7.56,10.68
2024年8月,1498.8,12004.9,10.3,11.1
2024年7月,1514.52,10506.17,11.64,11.2
2024年6月,1546.47,8991.65,7.62,11.13
