时间,风力发电量_当期值,风力发电量_累计值,风力发电量_同比增长,风力发电量_累计增长
2025年6月,738.1,5533.1,3.2,10.6
2025年5月,916.7,4741.8,11.0,11.1
2025年4月,974.5,3814.3,12.7,10.9
2025年3月,1053.9,2825.7,8.2,9.3
2025年2月,,1776.1,,10.4
2024年9月,694.3,6733.2,31.6,10.8
2024年8月,502.4,5973.5,6.6,7.6
2024年7月,660.9,5437.3,0.9,7.1
2024年6月,668.6,4755.2,12.7,6.9
2024年12月,920.9,9360.5,6.6,11.1
2024年11月,823.6,8437.7,-3.3,11.5
2024年10月,799.9,7580.9,34.0,13.1
