时间,大型拖拉机产量_当期值,大型拖拉机产量_累计值,大型拖拉机产量_同比增长,大型拖拉机产量_累计增长
2025年5月,7165.0,58725.0,-32.8,-2.4
2025年4月,12497.0,51413.0,-2.7,3.8
2025年3月,16247.0,38909.0,5.5,6.1
2024年12月,7399.0,111833.0,-17.0,-0.3
2024年11月,5605.0,104813.0,-27.9,2.7
2024年10月,7106.0,97159.0,-9.1,6.3
2024年9月,10433.0,90070.0,-4.5,7.7
2024年8月,9120.0,79649.0,11.2,9.6
2024年7月,6205.0,71611.0,15.6,11.3
2024年6月,6783.0,65448.0,5.1,10.3
2025年2月,,22664.0,,7.6
