时间,印刷和记录媒介复制业出口交货值_当期值,印刷和记录媒介复制业出口交货值_累计值,印刷和记录媒介复制业出口交货值_同比增长,印刷和记录媒介复制业出口交货值_累计增长
2025年5月,51.1,235.2,-4.6,1.6
2025年4月,49.5,184.4,-1.1,4.2
2025年3月,49.6,133.8,9.1,5.6
2024年12月,54.1,614.7,7.1,7.5
2024年11月,51.4,559.8,3.5,7.3
2024年10月,50.6,510.3,5.6,8.4
2024年9月,55.4,461.6,2.4,9.1
2024年8月,57.7,405.9,6.6,10.2
2024年7月,59.0,348.2,16.5,10.5
2024年6月,57.6,288.7,10.7,9.6
2025年2月,,83.9,,3.4
