时间,固定资产投资额_累计增长,民间固定资产投资_累计增长,第一产业固定资产投资额_累计增长,第二产业固定资产投资额_累计增长,第三产业固定资产投资额_累计增长
2025年5月,3.7,0.0,8.4,11.4,-0.4
2025年4月,4.0,0.2,13.2,11.7,-0.2
2025年3月,4.2,0.4,16.0,11.9,0.1
2025年2月,4.1,0.0,12.2,11.4,0.7
2024年12月,3.2,-0.1,2.6,12.0,-1.1
2024年11月,3.3,-0.4,2.4,12.0,-1.0
2024年10月,3.4,-0.3,2.5,12.2,-0.9
2024年9月,3.4,-0.2,2.3,12.3,-0.7
2024年8月,3.4,-0.2,2.9,12.1,-0.8
2024年7月,3.6,0.0,3.3,12.5,-0.7
2024年6月,3.9,0.1,3.1,12.6,-0.2
