时间,限额以上超市零售额_累计增长,限额以上百货店零售额_累计增长,限额以上专业店零售额_累计增长,限额以上专卖店零售额_累计增长,限额以上便利店零售额_累计增长
2025年5月,5.7,1.3,6.3,1.8,8.5
2025年4月,5.2,1.7,6.4,1.4,9.1
2025年3月,4.6,1.2,6.7,1.4,9.9
2025年2月,4.0,0.4,5.4,-0.8,9.8
2024年12月,2.7,-2.4,4.2,-0.4,4.7
2024年11月,2.6,-2.9,4.0,-0.7,4.4
2024年10月,2.6,-3.0,3.9,-1.1,4.7
2024年9月,2.4,-3.3,4.0,-1.7,4.7
2024年8月,2.1,-3.3,4.3,-1.9,4.9
2024年7月,2.0,-3.8,4.5,-1.6,5.2
2024年6月,2.2,-3.0,4.5,-1.8,5.8
