时间,国有及国有控股建筑业企业房屋建筑竣工价值_累计值,国有及国有控股建筑业企业住宅房屋竣工价值_累计值,国有及国有控股建筑业企业商业及服务用房屋竣工价值_累计值,国有及国有控股建筑业企业办公用房屋竣工价值_累计值,国有及国有控股建筑业企业科研、教育和医疗用房屋竣工价值_累计值,国有及国有控股建筑业企业文化、体育和娱乐用房屋竣工价值_累计值,国有及国有控股建筑业企业厂房及建筑物竣工价值_累计值,国有及国有控股建筑业企业仓库竣工价值_累计值,国有及国有控股建筑业企业其他未列明的房屋建筑物竣工价值_累计值
2024年第四季度,27574.05787,13044.04905,2708.96679,1819.93896,3456.31118,776.71193,4201.99899,151.84382,1414.23715
2024年第二季度,9695.07999,4699.93837,793.9972,696.86454,1139.58538,240.75624,1534.10656,55.08585,534.74585
2024年第三季度,15632.5231,7508.5095,1342.34699,1112.10419,2029.11386,420.17661,2318.49619,100.59452,801.18124
2024年第一季度,4101.23263,1988.08836,353.99395,353.48865,493.59216,126.99369,559.12515,19.73947,206.2112
