时间,教育服务居民消费价格指数(上年同期=100),旅游居民消费价格指数(上年同期=100)
2025年6月,101.2,99.4
2025年5月,101.2,99.1
2025年4月,101.2,98.7
2025年3月,101.2,98.4
2025年2月,101.3,98.1
2024年12月,101.6,103.5
2024年11月,101.6,103.8
2024年10月,101.6,104.2
2024年9月,101.7,104.8
2024年8月,101.7,105.7
2024年7月,101.7,106.4
2024年6月,101.7,107.0
